txn_id,customer_id,txn_date,amount,currency,status,region,channel,product_type,reference_no
TXN-35DD7B26,CUST-815198,2026-07-01,33350.0,GBP,REVERSED,EMEA,BRANCH,WIRE_TRANSFER,REF-33763566
TXN-34903997,CUST-224205,2026-05-22,38224.53,AED,PENDING,LATAM,MOBILE,FX_CONVERSION,REF-49910061
TXN-C8FE677B,CUST-681343,2026-07-16,9600.09,INR,PENDING,NA,MOBILE,DEPOSIT,REF-10054484
TXN-4CEF6E63,CUST-918164,2026-05-23,31993.3,EUR,PENDING,LATAM,ONLINE,LOAN_PAYMENT,REF-79538491
TXN-E23DAC6C,CUST-793655,2026-06-15,3457.15,GBP,COMPLETED,LATAM,MOBILE,LOAN_PAYMENT,REF-68186525
TXN-990F26F0,CUST-891093,2026-05-21,37996.26,INR,FAILED,NA,BRANCH,FX_CONVERSION,REF-19165226
TXN-D5457BE1,CUST-882824,2026-06-19,40213.58,INR,COMPLETED,EMEA,BRANCH,FX_CONVERSION,REF-84801233
TXN-BD2E5AF1,CUST-180913,2026-06-25,42222.98,USD,COMPLETED,NA,BRANCH,DEPOSIT,REF-60562485
TXN-081B4A8C,CUST-204555,2026-05-26,45522.98,USD,PENDING,LATAM,BRANCH,LOAN_PAYMENT,REF-73013961
TXN-B69B46E5,CUST-267457,2026-06-21,46688.24,GBP,PENDING,EMEA,MOBILE,DEPOSIT,REF-72654864
TXN-8452FB73,CUST-140804,2026-07-15,35682.46,INR,REVERSED,EMEA,BRANCH,BILL_PAY,REF-92284610
TXN-97C18109,CUST-131757,2026-05-30,44450.95,AED,FAILED,NA,MOBILE,WIRE_TRANSFER,REF-64504816
TXN-F47F9F18,CUST-447329,2026-05-07,5489.13,INR,FAILED,APAC,MOBILE,BILL_PAY,REF-97991930
TXN-4D6461FF,CUST-411120,2026-07-05,48435.78,AED,COMPLETED,NA,ONLINE,LOAN_PAYMENT,REF-88406989
TXN-DC62F9BC,CUST-853629,2026-05-31,43620.43,USD,COMPLETED,EMEA,ATM,WIRE_TRANSFER,REF-22130508
TXN-69E84147,CUST-779094,2026-07-13,45421.49,EUR,COMPLETED,APAC,BRANCH,BILL_PAY,REF-89865458
TXN-8AC98616,CUST-295892,2026-05-30,34606.5,GBP,FAILED,APAC,MOBILE,LOAN_PAYMENT,REF-67795113
TXN-F1E0D975,CUST-455395,2026-06-04,19942.52,USD,FAILED,LATAM,ATM,BILL_PAY,REF-60237832
TXN-A0560FA5,CUST-418635,2026-06-26,10517.03,AED,FAILED,LATAM,MOBILE,FX_CONVERSION,REF-38682516
TXN-74C1C557,CUST-284229,2026-07-16,19016.57,EUR,FAILED,APAC,MOBILE,LOAN_PAYMENT,REF-68548403
TXN-34EDF30E,CUST-955015,2026-05-24,23675.25,USD,PENDING,NA,ATM,LOAN_PAYMENT,REF-98010774
TXN-350E41DE,CUST-744674,2026-06-17,12035.81,INR,PENDING,APAC,ATM,LOAN_PAYMENT,REF-80606503
TXN-23A89035,CUST-238579,2026-05-24,43824.27,GBP,FAILED,EMEA,ATM,FX_CONVERSION,REF-49613214
TXN-AB42DAEF,CUST-440131,2026-07-25,14675.46,GBP,REVERSED,EMEA,BRANCH,DEPOSIT,REF-65304649
TXN-B555163E,CUST-246566,2026-07-27,47313.61,GBP,REVERSED,APAC,ONLINE,WIRE_TRANSFER,REF-82148284
TXN-9CC7F4FE,CUST-438977,2026-07-18,48509.53,INR,COMPLETED,LATAM,MOBILE,LOAN_PAYMENT,REF-35176902
TXN-200FF0DE,CUST-424500,2026-06-02,45199.68,EUR,FAILED,LATAM,MOBILE,BILL_PAY,REF-61254050
TXN-DEA29D1D,CUST-948102,2026-07-18,16540.9,INR,FAILED,EMEA,ONLINE,BILL_PAY,REF-49597485
TXN-8292CB95,CUST-885339,2026-05-21,46060.41,INR,COMPLETED,LATAM,ATM,FX_CONVERSION,REF-46540265
TXN-88B7649E,CUST-745558,2026-06-10,46953.26,GBP,COMPLETED,NA,BRANCH,FX_CONVERSION,REF-69686067
TXN-E91DA30D,,2026-05-07,4088.26,INR,REVERSED,LATAM,MOBILE,FX_CONVERSION,REF-46663833
TXN-90AA98C0,CUST-166613,2026-06-13,19087.15,INR,FAILED,APAC,ONLINE,DEPOSIT,REF-45812670
TXN-71D053FB,CUST-535050,2026-07-26,19828.73,GBP,PENDING,LATAM,ONLINE,BILL_PAY,REF-40137082
TXN-B0366052,CUST-774751,2026-06-20,40661.11,AED,COMPLETED,LATAM,ATM,LOAN_PAYMENT,REF-58667035
TXN-A0FA7185,CUST-313795,2026-06-10,25095.96,AED,REVERSED,APAC,BRANCH,DEPOSIT,REF-37828932
TXN-73B32779,CUST-972565,2026-07-13,24923.79,GBP,FAILED,LATAM,MOBILE,FX_CONVERSION,REF-42713008
TXN-38001C94,CUST-408528,2026-07-04,20226.01,EUR,FAILED,NA,MOBILE,DEPOSIT,REF-81259135
TXN-51210407,CUST-819112,2026-07-26,45531.74,INR,FAILED,EMEA,ATM,WIRE_TRANSFER,REF-95445405
TXN-C730778D,CUST-355135,2026-06-07,29447.68,AED,COMPLETED,LATAM,ATM,BILL_PAY,REF-39738898
TXN-E44127B7,CUST-274389,2026-06-10,24287.2,EUR,REVERSED,APAC,BRANCH,FX_CONVERSION,REF-10289289
TXN-85CDCEF2,CUST-910616,2026-07-14,14529.73,GBP,COMPLETED,NA,MOBILE,BILL_PAY,REF-74300930
TXN-87D06CBC,CUST-383060,2026-05-12,34411.22,EUR,FAILED,APAC,BRANCH,LOAN_PAYMENT,REF-52339391
TXN-3B7D7E98,CUST-571145,2026-05-28,7375.96,INR,COMPLETED,EMEA,MOBILE,BILL_PAY,REF-13579612
TXN-631D2869,CUST-440839,2026-05-09,23923.77,INR,FAILED,EMEA,MOBILE,DEPOSIT,REF-55946354
TXN-1E3605F2,CUST-953025,2026-05-11,8762.71,INR,REVERSED,EMEA,BRANCH,LOAN_PAYMENT,REF-71428713
TXN-5226CF26,CUST-326040,2026-05-28,5699.74,INR,COMPLETED,NA,MOBILE,DEPOSIT,REF-99541016
TXN-C3305CBD,CUST-806073,2026-05-10,49208.42,USD,COMPLETED,LATAM,ATM,LOAN_PAYMENT,REF-43374088
TXN-0E1DA553,CUST-794769,2026-06-11,40680.17,AED,COMPLETED,LATAM,ONLINE,BILL_PAY,REF-43876400
TXN-E45DD080,CUST-520252,2026-07-24,7102.31,USD,COMPLETED,EMEA,MOBILE,FX_CONVERSION,REF-70887307
TXN-CB9D02B0,CUST-636265,2026-07-18,19265.92,AED,PENDING,NA,ONLINE,FX_CONVERSION,REF-10226999
TXN-E50B12EF,CUST-129556,2026-06-22,46541.99,GBP,PENDING,EMEA,ONLINE,BILL_PAY,REF-73411827
TXN-6EC087FC,CUST-520651,2026-06-28,3318.77,AED,FAILED,EMEA,MOBILE,FX_CONVERSION,REF-96282117
TXN-B12F19FB,CUST-532322,2026-07-29,8976.24,GBP,REVERSED,EMEA,ATM,WIRE_TRANSFER,REF-24508349
TXN-FB5AE116,CUST-179046,2026-06-06,40403.03,AED,COMPLETED,APAC,ONLINE,LOAN_PAYMENT,REF-41726318
TXN-3F9068EB,CUST-621530,2026-07-30,4511.55,INR,REVERSED,EMEA,BRANCH,DEPOSIT,REF-57364777
TXN-4BAD8915,CUST-723939,2026-07-24,33763.88,EUR,REVERSED,APAC,BRANCH,DEPOSIT,REF-89795010
TXN-18FAB1B3,CUST-429164,2026-05-09,42402.28,GBP,FAILED,LATAM,ATM,FX_CONVERSION,REF-49682169
TXN-55E3DEEC,CUST-119651,2026-06-04,46058.91,GBP,REVERSED,LATAM,MOBILE,BILL_PAY,REF-25458308
TXN-C5F0C8E8,CUST-261745,2026-07-12,9050.49,AED,PENDING,LATAM,ONLINE,FX_CONVERSION,REF-58895439
TXN-101A151F,CUST-212512,2026-06-20,14235.24,AED,REVERSED,EMEA,MOBILE,BILL_PAY,REF-35878707
TXN-B56D168E,,2026-06-16,4976.74,GBP,FAILED,APAC,MOBILE,BILL_PAY,REF-35475673
TXN-BFE4C19E,CUST-269834,2026-06-21,46737.54,EUR,FAILED,NA,ONLINE,BILL_PAY,REF-36347197
TXN-CAF46293,,2026-06-14,41122.64,GBP,COMPLETED,EMEA,MOBILE,LOAN_PAYMENT,REF-93154172
TXN-FCA97F19,CUST-183667,2026-07-03,43325.52,INR,FAILED,LATAM,ATM,WIRE_TRANSFER,REF-59684848
TXN-E1BAF304,CUST-662093,2026-07-30,31601.43,AED,PENDING,EMEA,ATM,FX_CONVERSION,REF-10209961
TXN-E6211004,CUST-933510,2026-06-19,27896.01,GBP,PENDING,EMEA,MOBILE,DEPOSIT,REF-15402922
TXN-2EDF70C3,CUST-822858,2026-05-17,23500.92,USD,PENDING,NA,ATM,FX_CONVERSION,REF-19553585
TXN-1127327E,CUST-836833,2026-06-23,46077.66,GBP,COMPLETED,EMEA,BRANCH,DEPOSIT,REF-98227303
TXN-FD4E9BA8,CUST-573866,2026-07-28,2853.93,GBP,COMPLETED,APAC,MOBILE,FX_CONVERSION,REF-87890494
TXN-75B84F77,CUST-670511,2026-05-29,39322.75,AED,COMPLETED,LATAM,MOBILE,LOAN_PAYMENT,REF-95318289
TXN-227390AA,CUST-127032,2026-07-16,752.87,EUR,FAILED,APAC,BRANCH,BILL_PAY,REF-17032877
TXN-28A1721C,CUST-259784,2026-07-02,6319.79,USD,PENDING,LATAM,ATM,BILL_PAY,REF-32520277
TXN-0F2E1066,CUST-731718,2026-07-09,27278.27,GBP,COMPLETED,APAC,ATM,BILL_PAY,REF-51137177
TXN-755121F2,,2026-07-20,4855.57,INR,FAILED,LATAM,MOBILE,FX_CONVERSION,REF-17270733
TXN-4B66F39C,CUST-919488,2026-06-29,16934.68,INR,COMPLETED,NA,MOBILE,BILL_PAY,REF-94127561
TXN-683D5859,CUST-544151,2026-06-27,2213.9,GBP,PENDING,NA,BRANCH,FX_CONVERSION,REF-84045292
TXN-05C96554,CUST-891952,2026-05-05,10065.54,GBP,REVERSED,NA,MOBILE,DEPOSIT,REF-70597444
TXN-889FEDDE,CUST-524707,2026-07-30,48310.32,EUR,REVERSED,NA,ONLINE,FX_CONVERSION,REF-24208709
TXN-05E73D08,CUST-805477,2026-06-23,11239.79,EUR,PENDING,APAC,ONLINE,WIRE_TRANSFER,REF-73771720
TXN-209BA149,CUST-412999,2026-07-04,47074.86,GBP,FAILED,EMEA,MOBILE,BILL_PAY,REF-74398125
TXN-73C12A08,CUST-679364,2026-07-14,21495.04,USD,FAILED,NA,ONLINE,BILL_PAY,REF-38195995
TXN-324AD725,CUST-781725,2026-07-24,39063.84,USD,COMPLETED,EMEA,BRANCH,LOAN_PAYMENT,REF-93394260
TXN-74A9BE57,CUST-227767,2026-07-26,11929.59,AED,REVERSED,APAC,ONLINE,FX_CONVERSION,REF-90092958
TXN-9084F690,CUST-681242,2026-07-27,22492.19,AED,PENDING,NA,MOBILE,DEPOSIT,REF-30248230
TXN-A56FC36B,CUST-561865,2026-06-19,9226.34,USD,FAILED,LATAM,ONLINE,LOAN_PAYMENT,REF-63782042
TXN-B5FE07B4,CUST-326130,2026-07-13,27444.72,AED,REVERSED,APAC,ATM,WIRE_TRANSFER,REF-50419829
TXN-10814A70,CUST-333752,2026-07-29,33005.06,INR,FAILED,NA,ONLINE,BILL_PAY,REF-57130035
TXN-FEEB53EC,CUST-969693,2026-05-13,30929.8,GBP,PENDING,APAC,ONLINE,WIRE_TRANSFER,REF-48840994
TXN-A56F2057,CUST-324993,2026-05-15,14285.99,INR,PENDING,APAC,BRANCH,LOAN_PAYMENT,REF-70672142
TXN-1FBA0074,CUST-688678,2026-06-21,45763.64,EUR,COMPLETED,LATAM,ATM,FX_CONVERSION,REF-25659979
TXN-38F036D0,CUST-740967,2026-07-23,22776.25,AED,PENDING,LATAM,MOBILE,FX_CONVERSION,REF-42747037
TXN-06BCC871,CUST-615633,2026-07-23,28855.29,USD,PENDING,EMEA,ATM,LOAN_PAYMENT,REF-43311626
TXN-1893F316,CUST-460455,2026-06-08,49831.61,AED,FAILED,NA,MOBILE,BILL_PAY,REF-51154241
TXN-A2EBF25D,CUST-392004,2026-05-08,24275.87,AED,PENDING,LATAM,BRANCH,FX_CONVERSION,REF-64634663
TXN-8ACA648D,CUST-926236,2026-05-30,9323.72,GBP,COMPLETED,APAC,ATM,DEPOSIT,REF-90904160
TXN-82C7B3B5,CUST-624783,2026-05-24,24694.82,USD,COMPLETED,LATAM,ATM,DEPOSIT,REF-43603811
TXN-76BC47A2,CUST-220465,2026-06-27,28709.26,INR,COMPLETED,NA,ONLINE,WIRE_TRANSFER,REF-46677730
TXN-3FA0BE57,CUST-437960,2026-07-01,41538.24,USD,FAILED,LATAM,BRANCH,FX_CONVERSION,REF-86483924
TXN-B87F4ED4,CUST-707727,2026-06-16,36620.66,USD,FAILED,NA,MOBILE,WIRE_TRANSFER,REF-36950221
TXN-AC5B9707,CUST-354646,2026-07-19,34862.68,GBP,COMPLETED,APAC,ATM,DEPOSIT,REF-67495923
TXN-479A587D,CUST-853258,2026-06-22,36712.65,GBP,REVERSED,EMEA,ATM,DEPOSIT,REF-85383550
TXN-1B59E661,CUST-164879,2026-06-05,5184.06,GBP,COMPLETED,EMEA,ONLINE,WIRE_TRANSFER,REF-68754920
TXN-B47E3B1E,CUST-603935,2026-06-15,27731.49,USD,COMPLETED,NA,ONLINE,WIRE_TRANSFER,REF-46613428
TXN-FDEE37D7,CUST-925981,2026-05-29,13365.96,USD,FAILED,NA,MOBILE,WIRE_TRANSFER,REF-69934576
TXN-72A34418,CUST-152657,2026-05-22,12467.42,USD,REVERSED,EMEA,MOBILE,DEPOSIT,REF-85017682
TXN-ADE85D32,CUST-377312,2026-07-18,44486.74,AED,PENDING,NA,ATM,DEPOSIT,REF-38270233
TXN-108BDA1D,CUST-472060,2026-06-29,17023.54,AED,FAILED,APAC,BRANCH,LOAN_PAYMENT,REF-42394260
TXN-5324DC0D,CUST-501641,2026-05-05,7648.74,EUR,COMPLETED,LATAM,MOBILE,BILL_PAY,REF-82828034
TXN-EBD8728F,CUST-874483,2026-06-01,13832.22,AED,FAILED,APAC,BRANCH,BILL_PAY,REF-40532273
TXN-539271F4,CUST-363615,2026-07-03,6041.59,EUR,FAILED,APAC,BRANCH,WIRE_TRANSFER,REF-39042654
TXN-85DB018B,CUST-702022,2026-07-03,26762.26,USD,PENDING,LATAM,BRANCH,LOAN_PAYMENT,REF-63283709
TXN-F729B45B,CUST-383201,2026-05-15,40411.88,AED,REVERSED,LATAM,MOBILE,DEPOSIT,REF-46023439
TXN-761A235B,CUST-242254,2026-06-13,22687.65,AED,REVERSED,EMEA,MOBILE,LOAN_PAYMENT,REF-75679047
TXN-F0D813A0,CUST-356150,2026-06-15,14256.52,INR,FAILED,APAC,ATM,LOAN_PAYMENT,REF-28024248
TXN-A08CF4CB,CUST-782139,2026-07-07,37797.99,GBP,FAILED,NA,ONLINE,LOAN_PAYMENT,REF-97550053
TXN-0ED81F24,CUST-270395,2026-06-12,49530.88,GBP,FAILED,LATAM,ATM,FX_CONVERSION,REF-12232974
TXN-CAF0D541,CUST-138780,2026-06-25,10087.53,EUR,COMPLETED,NA,ATM,DEPOSIT,REF-63448727
TXN-D4DAF70A,CUST-848206,2026-06-26,11732.33,GBP,FAILED,APAC,BRANCH,WIRE_TRANSFER,REF-41039390
TXN-67E9F66F,CUST-555052,2026-07-20,38020.88,USD,REVERSED,EMEA,ATM,LOAN_PAYMENT,REF-16172803
TXN-CB11A768,CUST-677596,2026-07-31,27617.05,USD,PENDING,APAC,MOBILE,LOAN_PAYMENT,REF-96934122
TXN-8C8167A1,CUST-505116,2026-05-29,22523.22,AED,FAILED,APAC,BRANCH,LOAN_PAYMENT,REF-62868861
TXN-D7733B33,CUST-468845,2026-06-24,37676.22,INR,PENDING,LATAM,BRANCH,BILL_PAY,REF-68496914
TXN-7EF37959,CUST-245051,2026-05-28,24680.86,USD,COMPLETED,EMEA,BRANCH,FX_CONVERSION,REF-90048665
TXN-1EE77C12,CUST-744718,2026-06-07,13735.02,USD,COMPLETED,LATAM,ATM,DEPOSIT,REF-31473054
TXN-8BCCB4CC,CUST-591699,2026-06-06,31572.94,GBP,COMPLETED,NA,ONLINE,BILL_PAY,REF-71974027
TXN-D7DC2D82,CUST-904624,2026-07-15,38210.4,GBP,FAILED,APAC,ONLINE,FX_CONVERSION,REF-67801537
TXN-499266C9,CUST-300896,2026-07-08,26818.92,EUR,REVERSED,EMEA,ATM,FX_CONVERSION,REF-43528453
TXN-B4F7E277,CUST-700383,2026-05-04,5503.68,USD,REVERSED,NA,MOBILE,WIRE_TRANSFER,REF-65426567
TXN-5C73BD4D,CUST-636004,2026-06-02,39688.83,EUR,COMPLETED,NA,ATM,LOAN_PAYMENT,REF-41523529
TXN-074AEBF4,CUST-588557,2026-06-09,3122.66,INR,REVERSED,APAC,MOBILE,FX_CONVERSION,REF-10791358
TXN-D3E66D32,CUST-900581,2026-06-19,5119.49,INR,COMPLETED,NA,ATM,DEPOSIT,REF-45503389
TXN-B3D77FF2,CUST-449247,2026-07-11,3828.21,USD,PENDING,NA,ATM,WIRE_TRANSFER,REF-41711468
TXN-A12DB8D3,CUST-565504,2026-07-23,28700.35,AED,FAILED,LATAM,ATM,BILL_PAY,REF-43502308
TXN-5C73BD4D,CUST-636004,2026-06-02,39688.83,EUR,COMPLETED,NA,ATM,LOAN_PAYMENT,REF-41523529
TXN-44669AE9,CUST-509386,2026-06-29,46326.64,INR,FAILED,LATAM,MOBILE,WIRE_TRANSFER,REF-35487660
TXN-F0E74E23,CUST-645175,2026-05-25,34345.99,EUR,FAILED,LATAM,ONLINE,BILL_PAY,REF-93638503
TXN-22C6A500,CUST-427110,2026-05-20,33870.59,INR,REVERSED,EMEA,ONLINE,DEPOSIT,REF-94187049
TXN-20D4299E,CUST-839945,2026-06-08,28049.73,USD,COMPLETED,EMEA,ONLINE,BILL_PAY,REF-88183110
TXN-AD022F1A,CUST-618934,2026-05-17,44118.15,INR,FAILED,APAC,ONLINE,FX_CONVERSION,REF-27976443
TXN-63D9E899,CUST-579027,2026-06-24,9968.86,INR,REVERSED,APAC,BRANCH,FX_CONVERSION,REF-86762164
TXN-ADA857D5,CUST-609232,2026-07-29,19448.97,INR,PENDING,LATAM,BRANCH,DEPOSIT,REF-81688860
TXN-BD94948A,CUST-371782,2026-07-01,41994.75,GBP,REVERSED,EMEA,ATM,FX_CONVERSION,REF-20399639
TXN-2BAEF6A5,CUST-132653,2026-07-14,42434.98,INR,COMPLETED,EMEA,ONLINE,WIRE_TRANSFER,REF-96592295
TXN-4FDC2F6A,CUST-214351,2026-06-05,25196.9,AED,COMPLETED,NA,MOBILE,LOAN_PAYMENT,REF-18163847
TXN-DB3B55C9,CUST-900961,2026-06-11,18303.21,INR,COMPLETED,EMEA,ATM,DEPOSIT,REF-48735464
TXN-2E054356,CUST-734836,2026-06-07,4967.93,USD,PENDING,LATAM,MOBILE,WIRE_TRANSFER,REF-65541117
TXN-003D647A,CUST-324381,2026-07-07,41399.31,GBP,FAILED,EMEA,ONLINE,DEPOSIT,REF-88763056
TXN-514614B3,,2026-07-01,2547.76,AED,PENDING,EMEA,ONLINE,LOAN_PAYMENT,REF-65472370
TXN-4FC554F4,CUST-739979,2026-05-08,18955.68,USD,REVERSED,NA,BRANCH,FX_CONVERSION,REF-38470244
TXN-F5CBC409,CUST-471496,2026-05-07,38601.77,GBP,REVERSED,EMEA,BRANCH,BILL_PAY,REF-84905122
TXN-E6637D42,CUST-705693,2026-07-03,36072.79,AED,REVERSED,EMEA,MOBILE,WIRE_TRANSFER,REF-42507072
TXN-2E67F218,CUST-724377,2026-06-22,47502.48,INR,REVERSED,LATAM,BRANCH,FX_CONVERSION,REF-70407340
TXN-29F866D7,CUST-141672,2026-05-14,4108.35,AED,FAILED,NA,BRANCH,BILL_PAY,REF-42035886
TXN-EDC321D0,CUST-232915,2026-06-09,26309.02,USD,REVERSED,LATAM,ATM,DEPOSIT,REF-89680504
TXN-35B1846B,CUST-643623,2026-06-16,31135.47,INR,REVERSED,APAC,BRANCH,BILL_PAY,REF-83715012
TXN-0226F8FE,CUST-602248,2026-06-11,21319.42,USD,REVERSED,LATAM,ONLINE,LOAN_PAYMENT,REF-53233116
TXN-F8783018,CUST-772642,2026-05-28,19989.92,AED,FAILED,APAC,ONLINE,BILL_PAY,REF-33966966
TXN-F7E39BF0,CUST-599948,2026-05-29,45970.16,AED,PENDING,APAC,ONLINE,WIRE_TRANSFER,REF-19196777
TXN-1B49BAB9,CUST-792509,2026-07-22,7861.28,EUR,COMPLETED,EMEA,ONLINE,FX_CONVERSION,REF-70465583
TXN-11B2CA2F,CUST-248298,2026-06-18,15518.48,INR,PENDING,APAC,ATM,DEPOSIT,REF-60557040
TXN-789785B3,CUST-678443,2026-07-16,30601.3,USD,COMPLETED,NA,MOBILE,FX_CONVERSION,REF-80557676
TXN-2BFC72B4,CUST-589131,2026-07-17,13380.91,EUR,PENDING,APAC,ONLINE,BILL_PAY,REF-61559717
TXN-F96CA2F8,CUST-423869,2026-07-09,47558.95,GBP,REVERSED,EMEA,BRANCH,WIRE_TRANSFER,REF-30796389
TXN-6896B22D,CUST-627335,2026-05-26,20938.85,EUR,PENDING,EMEA,ATM,LOAN_PAYMENT,REF-96057593
TXN-54AD3B15,CUST-226882,2026-07-01,11242.62,GBP,COMPLETED,EMEA,BRANCH,LOAN_PAYMENT,REF-19528530
TXN-9D8B53EF,CUST-567576,2026-05-16,35885.97,EUR,REVERSED,NA,MOBILE,LOAN_PAYMENT,REF-57319709
TXN-45426313,CUST-644173,2026-05-10,22117.05,GBP,PENDING,LATAM,MOBILE,LOAN_PAYMENT,REF-73083727
TXN-350E41DE,CUST-744674,2026-06-17,12035.81,INR,PENDING,APAC,ATM,LOAN_PAYMENT,REF-80606503
TXN-EE515954,CUST-464863,2026-06-10,16672.09,USD,PENDING,NA,MOBILE,FX_CONVERSION,REF-48683937
TXN-A3C48BD7,CUST-127121,2026-07-21,11453.93,AED,COMPLETED,NA,ONLINE,WIRE_TRANSFER,REF-73149551
TXN-A809B748,CUST-699573,2026-06-13,11685.79,INR,COMPLETED,NA,MOBILE,FX_CONVERSION,REF-61818612
TXN-E03D4932,CUST-912085,2026-06-19,33948.1,USD,FAILED,APAC,ATM,LOAN_PAYMENT,REF-84888554
TXN-8C21E15D,CUST-758775,2026-07-19,38577.35,GBP,PENDING,APAC,ATM,DEPOSIT,REF-55439043
TXN-F1E0E349,CUST-560767,2026-05-26,26142.17,EUR,FAILED,NA,ATM,FX_CONVERSION,REF-64864099
TXN-F887DD32,CUST-963333,2026-05-20,3696.8,GBP,COMPLETED,LATAM,MOBILE,DEPOSIT,REF-56239991
TXN-EB9717BD,CUST-751332,2026-05-21,49804.86,USD,PENDING,NA,BRANCH,BILL_PAY,REF-19233013
TXN-F76F49D0,CUST-484123,2026-06-16,19148.89,AED,COMPLETED,EMEA,MOBILE,BILL_PAY,REF-59930790
TXN-981738B5,CUST-708792,2026-06-29,1922.48,AED,REVERSED,NA,ATM,FX_CONVERSION,REF-91363974
TXN-EAF6F826,CUST-578975,2026-05-23,7240.65,EUR,PENDING,APAC,ATM,FX_CONVERSION,REF-55617282
TXN-A77497AB,CUST-479781,2026-05-12,44579.83,INR,PENDING,LATAM,BRANCH,DEPOSIT,REF-97302916
TXN-1524E1D4,CUST-472528,2026-07-06,33512.06,USD,PENDING,EMEA,BRANCH,FX_CONVERSION,REF-60929647
TXN-6EAB0F10,CUST-299367,2026-05-14,12538.83,EUR,COMPLETED,APAC,ATM,FX_CONVERSION,REF-14478111
TXN-40157C8F,CUST-972064,2026-06-23,11980.22,EUR,COMPLETED,APAC,MOBILE,LOAN_PAYMENT,REF-81498611
TXN-565791A6,CUST-624902,2026-07-10,25389.01,USD,FAILED,EMEA,BRANCH,BILL_PAY,REF-31682744
TXN-F1419BBA,CUST-737846,2026-07-14,3293.45,GBP,FAILED,LATAM,ATM,FX_CONVERSION,REF-77853916
TXN-148566C3,CUST-665579,2026-05-26,45925.49,AED,FAILED,LATAM,ONLINE,LOAN_PAYMENT,REF-58718453
